id,customer_id,costumer_name,description,amount,type_of_payment
1,96722b1d-c0e1-474e-81a6-3ff6c86feec8,Gertrud Sleith,"Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo.",704.74,pix
2,021f770e-dec7-459f-9bef-c70994fa26e6,Mahala Payley,Integer ac neque.,360.76,pix
3,e57203c2-060f-4735-9046-23ebd68f77e7,Dorelia Fishenden,Aenean auctor gravida sem.,149.97,pix
4,cf5b94e5-5cff-4bb2-b32b-d39e508af83f,May M'cowis,Maecenas pulvinar lobortis est.,106.00,bank_slip
5,b5c369d2-c086-4f79-8a9e-6c31d5b18fcb,Dayle Glenny,Aenean sit amet justo. Morbi ut odio.,613.29,pix
6,5ded472b-2b07-4c09-ab53-5ff0314c32e8,Darline Eyckelberg,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam.",101.78,card
7,93375c90-a3fa-471d-b9a7-1ea56e083d88,Ursala McSweeney,"Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",801.59,bank_slip
8,08f8db0a-d3d5-4a59-9837-a66082482bc3,Piper Raphael,Proin eu mi.,600.59,pix
9,21cb42eb-4e38-4f50-aaad-b14db25f783f,Feodor Kelsell,Pellentesque eget nunc.,809.58,pix
10,0264255f-3865-469d-be89-3577b5267c4e,Kalie Haddleton,"Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula.",400.91,pix
11,18b9cc08-733a-42e1-9cb0-bc6ee843cce9,Stephanus Jancik,Morbi non lectus.,154.20,card
12,f9e2fe7e-7fd6-4303-89fd-6c23f38f9276,Sigmund Fenelow,In hac habitasse platea dictumst.,301.30,bank_slip
13,5e99e430-da2e-4091-9a3e-63d245f970b3,Elissa Laurenceau,"Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",156.75,pix
